row,model_id,dataset,predict_mode,num_runs,ndcg_multi_mean,ndcg_multi_std,ndcg_single_mean,ndcg_single_std,recall_multi_mean,recall_multi_std,recall_single_mean,recall_single_std,snsr_mean,snsr_std,snsr_gender_mean,snsr_gender_std,snsr_occupation_mean,snsr_occupation_std,snsr_age_mean,snsr_age_std,CFR_mean,CFR_std,CFR_gender_mean,CFR_gender_std,CFR_occupation_mean,CFR_occupation_std,CFR_age_mean,CFR_age_std,n_violations_mean,n_violations_std,fixedQ0_corrected_violations_mean,fixedQ0_corrected_violations_std
Baseline Neutral,meta-llama/Llama-2-7b-chat-hf,ml-1m,open,3,0.02814917346797838,0.0032375463307482946,0.015302557961852913,0.00022442258702228788,0.025782539682539685,0.002962617940985292,0.029333333333333333,0.0013333333333333322,0.016708016395568848,0.0019816490556304215,0.007488687833150228,0.0006813530426432067,0.04125144084294637,0.0022779943132245914,0.06311935186386108,0.006656672276859712,0.640258449227168,0.0035753140232361283,0.6244393125102384,0.005019991186239125,0.6518974660636919,0.007146343536586278,0.6274506847409337,0.009767694580606693,45.333333333333336,9.073771725877467,,
Baseline Fair,meta-llama/Llama-2-7b-chat-hf,ml-1m,open,3,0.025338711307636524,0.0005917973821276038,0.01347921274295101,0.002623569736388468,0.021957671957671957,0.0015603952356186021,0.02311111111111111,0.0030792014356780056,0.02088451385498047,0.004384025097049837,0.00951850414276123,0.0005754739647322822,0.050979415575663246,0.011860503823889703,0.08021378517150879,0.0257762641462641,0.7278024617383673,0.015805456753404844,0.6826324117137513,0.02205115027240569,0.708425270607099,0.015453491041569125,0.6882276738870304,0.010432570710062464,55.0,2.0,,
FACTOR Iteration 3,meta-llama/Llama-2-7b-chat-hf,ml-1m,open,3,0.022194164200896965,0.0022575385193396636,0.01132579269202886,0.0008197261714409655,0.01997266313932981,0.0021441836859004662,0.02311111111111111,0.0007698003589195003,0.023020386695861816,0.007964126405284152,0.017248670260111492,0.0055569189104093504,0.05592143535614014,0.007321057544118447,0.06010369459788004,0.009113849354917037,0.7115110738267489,0.016304180441081152,0.7126224930422982,0.01441979574144219,0.7018939720274083,0.005286455464714039,0.6998475658246935,0.0038933549074182928,8.333333333333334,0.5773502691896257,60.0,9.643650760992955
Baseline Neutral,meta-llama/Meta-Llama-3-8B-Instruct,amazon,open,3,0.004248716809441007,0.00046641825426907587,0.0021261202045059504,0.0010915081643525623,0.004687125220458554,0.0005814145844768014,0.004740740740740741,0.0013578002059128412,0.0,0.0,0.022006094455718994,0.001970818499525893,0.07923048734664917,0.011512175584104301,0.02814982334772746,0.003424235241834278,0.8790492941586416,0.018014949479809392,0.8628556889103386,0.015345926040961057,0.8604582478610215,0.017164303837861564,0.8589665691345291,0.01094627579695272,107.66666666666667,1.5275252316519468,,
Baseline Fair,meta-llama/Meta-Llama-3-8B-Instruct,amazon,open,3,0.0038945869153505556,0.0007573906840469888,0.0017834482608595867,0.000640190780772689,0.004294532627865962,0.00023765063983301508,0.004148148148148148,0.0010264004785593345,0.0,0.0,0.01096359888712565,0.0009676430346506484,0.07401061058044434,0.00735730490466228,0.02256693442662557,0.0016977764421583998,0.9064258157709326,0.022610446512500656,0.8807166488190354,0.002814578038659666,0.8882706180676644,0.006801615883095272,0.8874002391541446,0.01541064283723806,91.33333333333333,8.386497083606084,,
FACTOR Iteration 3,meta-llama/Meta-Llama-3-8B-Instruct,amazon,open,3,0.0034921258014885843,0.0005548362557086584,0.0011780888116272546,0.0004163231087074282,0.0034179894179894184,0.0003438433425285437,0.0029629629629629637,0.0010264004785593348,0.0,0.0,0.0157163143157959,0.003477942502265166,0.07748281955718994,0.004139151118257479,0.020624061425526936,0.002956336628237111,0.9217161651819294,0.0013063553991584957,0.9076131011350969,0.011079561411118705,0.9156005602719347,0.010553013513168603,0.9090966124520631,0.015509401279586344,3.0,1.7320508075688772,110.66666666666667,11.015141094572204
Baseline Neutral,meta-llama/Meta-Llama-3-8B-Instruct,ml-1m,open,3,0.03483410757518652,0.00147819974026302,0.021248062916289903,0.0025870613724765586,0.03141851851851852,0.0012191719651088078,0.04133333333333333,0.004807401700618655,0.03699918588002523,0.01757622066164944,0.023490428924560547,0.0031136322734128356,0.0913920799891154,0.0025622752305998306,0.14323767026265463,0.014174308454619242,0.6663246154033858,0.005344034528124807,0.6374741274863481,0.01598824364311959,0.6407922742950108,0.008289748485875447,0.6641510730981827,0.007751481434615008,42.666666666666664,5.773502691896258,,
Baseline Fair,meta-llama/Meta-Llama-3-8B-Instruct,ml-1m,open,3,0.03042155767061112,0.0022372781001597235,0.01944600041702736,0.003778694576743343,0.02711252204585538,0.0016454837043886241,0.035555555555555556,0.008036951697788942,0.03827597697575887,0.0081757305245634,0.017482797304789226,0.0014758490988011153,0.05544926722844442,0.007468025047066084,0.10416309038798015,0.003408340616304074,0.6828840238888872,0.003988013266705671,0.6677337165176868,0.0162718370144074,0.6651170540352661,0.014628672781101113,0.6627776953950525,0.00304369659569767,41.0,4.358898943540674,,
FACTOR Iteration 3,meta-llama/Meta-Llama-3-8B-Instruct,ml-1m,open,3,0.028675674133125346,0.0009720904638025469,0.019615674142497926,0.0018259350775188653,0.025659082892416224,0.00037940763132151374,0.03822222222222222,0.004286067004885758,0.03167418638865153,0.005007023762369927,0.01626729965209961,0.0014631418570992228,0.07247650623321533,0.014569086617265251,0.08820160230000813,0.020177106214574116,0.7023744610630885,0.008673370160279732,0.6932632761106331,0.016366852702052417,0.6930561664203804,0.018866246520953464,0.6916740968011066,0.007202604952464539,9.0,0.0,35.333333333333336,6.429100507328637
Baseline Neutral,mistralai/Mistral-7B-Instruct-v0.2,ml-1m,open,3,0.031172141430916376,0.0018990669041880545,0.02159363032706488,0.004000622165449643,0.026436507936507942,0.0011153437898456784,0.036444444444444446,0.004286067004885759,0.05219503243764242,0.007318648716438496,0.03282994031906128,0.0008012681217321965,0.12282727162043254,0.016386361025150748,0.08868976434071858,0.010579043232983299,0.7408580871928464,0.021378000583197738,0.5847066617081151,0.02476293652797786,0.6936630949021536,0.005529865816454969,0.5803736305223793,0.042681169692718145,39.333333333333336,7.505553499465135,,
